EC 1.1.1.1	 alcohol dehydrogenase
EC 1.1.1.87	 homoisocitrate dehydrogenase
EC 1.1.1.88	 hydroxymethylglutaryl-CoA reductase
EC 1.1.1.89	 deleted, included in *EC 1.1.1.86
EC 1.1.1.90	 aryl-alcohol dehydrogenase
EC 1.1.1.91	 aryl-alcohol dehydrogenase (NADP+)
EC 1.1.1.92	 oxaloglycolate reductase (decarboxylating)
EC 1.1.1.93	 tartrate dehydrogenase
EC 1.1.1.94	 glycerol-3-phosphate dehydrogenase (NAD(P)+)
EC 1.1.1.95	 phosphoglycerate dehydrogenase
EC 1.1.1.96	 diiodophenylpyruvate reductase
EC 1.1.1.97	 3-hydroxybenzyl-alcohol dehydrogenase
EC 1.1.1.98	 (R)-2-hydroxy-fatty-acid dehydrogenase
EC 1.1.1.99	 (S)-2-hydroxy-fatty-acid dehydrogenase
EC 1.1.1.100	 3-oxoacyl-(acyl-carrier-protein) reductase
EC 1.1.1.101	 acylglycerone-phosphate reductase
EC 1.1.1.102	 3-dehydrosphinganine reductase
EC 1.1.1.103	 L-threonine 3-dehydrogenase
EC 1.1.1.104	 4-oxoproline reductase
EC 1.1.1.105	 retinol dehydrogenase
EC 1.1.1.106	 pantoate 4-dehydrogenase
EC 1.1.1.107	 pyridoxal 4-dehydrogenase
EC 1.1.1.108	 carnitine 3-dehydrogenase
EC 1.1.1.109	 now *EC 1.3.1.28
EC 1.1.1.110	 indolelactate dehydrogenase
EC 1.1.1.111	 3-(imidazol-5-yl)lactate dehydrogenase
EC 1.1.1.112	 indanol dehydrogenase
EC 1.1.1.113	 L-xylose 1-dehydrogenase
EC 1.1.1.114	 apiose 1-reductase
EC 1.1.1.115	 ribose 1-dehydrogenase (NADP+)
EC 1.1.1.116	 D-arabinose 1-dehydrogenase
EC 1.1.1.117	 D-arabinose 1-dehydrogenase (NAD(P)+)
EC 1.1.1.118	 glucose 1-dehydrogenase (NAD+)
EC 1.1.1.119	 glucose 1-dehydrogenase (NADP+)
EC 1.1.1.120	 galactose 1-dehydrogenase (NADP+)
EC 1.1.1.121	 aldose 1-dehydrogenase
EC 1.1.1.122	 D-threo-aldose 1-dehydrogenase
EC 1.1.1.123	 sorbose 5-dehydrogenase (NADP+)
EC 1.1.1.124	 fructose 5-dehydrogenase (NADP+)
EC 1.1.1.125	 2-deoxy-D-gluconate 3-dehydrogenase
EC 1.1.1.126	 2-dehydro-3-deoxy-D-gluconate 6-dehydrogenase
EC 1.1.1.127	 2-dehydro-3-deoxy-D-gluconate 5-dehydrogenase
EC 1.1.1.128	 L-idonate 2-dehydrogenase
EC 1.1.1.129	 L-threonate 3-dehydrogenase
EC 1.1.1.130	 3-dehydro-L-gulonate 2-dehydrogenase
EC 1.1.1.131	 mannuronate reductase
EC 1.1.1.132	 GDP-mannose 6-dehydrogenase
EC 1.1.1.133	 dTDP-4-dehydrorhamnose reductase
EC 1.1.1.134	 dTDP-6-deoxy-L-talose 4-dehydrogenase
EC 1.1.1.135	 GDP-6-deoxy-D-talose 4-dehydrogenase
EC 1.1.1.136	 UDP-N-acetylglucosamine 6-dehydrogenase
EC 1.1.1.137	 ribitol-5-phosphate 2-dehydrogenase
EC 1.1.1.138	 mannitol 2-dehydrogenase (NADP+)
EC 1.1.1.139	 deleted, included in *EC 1.1.1.21
EC 1.1.1.140	 sorbitol-6-phosphate 2-dehydrogenase
EC 1.1.1.141	 15-hydroxyprostaglandin dehydrogenase (NAD+)
EC 1.1.1.142	 D-pinitol dehydrogenase
EC 1.1.1.143	 sequoyitol dehydrogenase
EC 1.1.1.144	 perillyl-alcohol dehydrogenase
EC 1.1.1.145	 3b-hydroxy-D5-steroid dehydrogenase
EC 1.1.1.146	 11b-hydroxysteroid dehydrogenase
EC 1.1.1.147	 16a-hydroxysteroid dehydrogenase
EC 1.1.1.148	 estradiol 17a-dehydrogenase
EC 1.1.1.149	 20a-hydroxysteroid dehydrogenase
EC 1.1.1.150	 21-hydroxysteroid dehydrogenase (NAD+)
EC 1.1.1.151	 21-hydroxysteroid dehydrogenase (NADP+)
EC 1.1.1.152	 3a-hydroxy-5b-androstane-17-one 3a-dehydrogenase
EC 1.1.1.153	 sepiapterin reductase
EC 1.1.1.154	 ureidoglycolate dehydrogenase
EC 1.1.1.155	 identical to *EC 1.1.1.87
EC 1.1.1.156	 glycerol 2-dehydrogenase (NADP+)
EC 1.1.1.157	 3-hydroxybutyryl-CoA dehydrogenase
EC 1.1.1.158	 now EC 1.3.1.98
EC 1.1.1.159	 7a-hydroxysteroid dehydrogenase
EC 1.1.1.160	 dihydrobunolol dehydrogenase
EC 1.1.1.161	 cholestanetetraol 26-dehydrogenase
EC 1.1.1.162	 erythrulose reductase
EC 1.1.1.163	 cyclopentanol dehydrogenase
EC 1.1.1.164	 hexadecanol dehydrogenase
EC 1.1.1.165	 2-alkyn-1-ol dehydrogenase
EC 1.1.1.166	 hydroxycyclohexanecarboxylate dehydrogenase
EC 1.1.1.167	 hydroxymalonate dehydrogenase
EC 1.1.1.168	 2-dehydropantolactone reductase (A-specific)
EC 1.1.1.169	 2-dehydropantoate 2-reductase
EC 1.1.1.170	 3b-hydroxy-4a-methylcholestenecarboxylate 3-dehydrogenase (decarboxylating)
EC 1.1.1.171	 now *EC 1.5.1.20
EC 1.1.1.172	 2-oxoadipate reductase
EC 1.1.1.173	 L-rhamnose 1-dehydrogenase
EC 1.1.1.174	 cyclohexane-1,2-diol dehydrogenase
EC 1.1.1.175	 D-xylose 1-dehydrogenase
EC 1.1.1.176	 12a-hydroxysteroid dehydrogenase
EC 1.1.1.177	 glycerol-3-phosphate 1-dehydrogenase (NADP+)
EC 1.1.1.178	 3-hydroxy-2-methylbutyryl-CoA dehydrogenase
EC 1.1.1.179	 D-xylose 1-dehydrogenase (NADP+)
EC 1.1.1.180	 deleted, included in *EC 1.1.1.131
EC 1.1.1.181	 cholest-5-ene-3b,7a-diol 3b-dehydrogenase
EC 1.1.1.182	 deleted, included in *EC 1.1.1.198, *EC 1.1.1.227 and *EC 1.1.1.228
EC 1.1.1.183	 geraniol dehydrogenase
EC 1.1.1.184	 carbonyl reductase (NADPH)
EC 1.1.1.185	 L-glycol dehydrogenase
EC 1.1.1.186	 dTDP-galactose 6-dehydrogenase
EC 1.1.1.187	 GDP-4-dehydro-D-rhamnose reductase
EC 1.1.1.188	 prostaglandin-F synthase
EC 1.1.1.189	 prostaglandin-E2 9-reductase
EC 1.1.1.190	 indole-3-acetaldehyde reductase (NADH)
EC 1.1.1.191	 indole-3-acetaldehyde reductase (NADPH)
EC 1.1.1.192	 long-chain-alcohol dehydrogenase
EC 1.1.1.193	 5-amino-6-(5-phosphoribosylamino)uracil reductase
EC 1.1.1.194	 coniferyl-alcohol dehydrogenase
EC 1.1.1.195	 cinnamyl-alcohol dehydrogenase
EC 1.1.1.196	 15-hydroxyprostaglandin-D dehydrogenase (NADP+)
EC 1.1.1.197	 15-hydroxyprostaglandin dehydrogenase (NADP+)
EC 1.1.1.198	 (+)-borneol dehydrogenase
EC 1.1.1.199	 (S)-usnate reductase
EC 1.1.1.200	 aldose-6-phosphate reductase (NADPH)
EC 1.1.1.201	 7b-hydroxysteroid dehydrogenase (NADP+)
EC 1.1.1.202	 1,3-propanediol dehydrogenase
EC 1.1.1.203	 uronate dehydrogenase
EC 1.1.1.204	 now *EC 1.17.1.4
EC 1.1.1.205	 IMP dehydrogenase
EC 1.1.1.206	 tropinone reductase I
EC 1.1.1.207	 (-)-menthol dehydrogenase
EC 1.1.1.208	 (+)-neomenthol dehydrogenase
EC 1.1.1.209	 3(or 17)a-hydroxysteroid dehydrogenase
EC 1.1.1.210	 3b(or 20a)-hydroxysteroid dehydrogenase
EC 1.1.1.211	 long-chain-3-hydroxyacyl-CoA dehydrogenase
EC 1.1.1.212	 3-oxoacyl-(acyl-carrier-protein) reductase (NADH)
EC 1.1.1.213	 3a-hydroxysteroid dehydrogenase (A-specific)
EC 1.1.1.214	 2-dehydropantolactone reductase (B-specific)
EC 1.1.1.215	 gluconate 2-dehydrogenase
EC 1.1.1.216	 farnesol dehydrogenase
EC 1.1.1.217	 benzyl-2-methyl-hydroxybutyrate dehydrogenase
EC 1.1.1.218	 morphine 6-dehydrogenase
EC 1.1.1.219	 dihydrokaempferol 4-reductase
EC 1.1.1.220	 6-pyruvoyltetrahydropterin 2'-reductase
EC 1.1.1.221	 vomifoliol 4'-dehydrogenase
EC 1.1.1.222	 (R)-4-hydroxyphenyllactate dehydrogenase
EC 1.1.1.223	 isopiperitenol dehydrogenase
EC 1.1.1.224	 mannose-6-phosphate 6-reductase
EC 1.1.1.225	 chlordecone reductase
EC 1.1.1.226	 4-Hydroxycyclohexanecarboxylate dehydrogenase
EC 1.1.1.227	 (-)-borneol dehydrogenase
EC 1.1.1.228	 (+)-sabinol dehydrogenase
EC 1.1.1.229	 diethyl 2-methyl-3-oxosuccinate reductase
EC 1.1.1.230	 3a-hydroxyglycyrrhetinate dehydrogenase
EC 1.1.1.231	 15-hydroxyprostaglandin-I dehydrogenase (NADP+)
EC 1.1.1.232	 15-hydroxyicosatetraenoate dehydrogenase
EC 1.1.1.233	 N-acylmannosamine 1-dehydrogenase
EC 1.1.1.234	 flavanone 4-reductase
EC 1.1.1.235	 8-oxocoformycin reductase
EC 1.1.1.236	 tropinone reductase II
EC 1.1.1.237	 hydroxyphenylpyruvate reductase
EC 1.1.1.238	 12b-hydroxysteroid dehydrogenase
EC 1.1.1.239	 3a(17b)-hydroxysteroid dehydrogenase (NAD+)
EC 1.1.1.240	 N-acetylhexosamine 1-dehydrogenase
EC 1.1.1.241	 6-endo-hydroxycineole dehydrogenase
EC 1.1.1.242	 zeatin reductase — now *EC 1.3.1.69
EC 1.1.1.243	 carveol dehydrogenase
EC 1.1.1.244	 methanol dehydrogenase
EC 1.1.1.245	 cyclohexanol dehydrogenase
EC 1.1.1.246	 pterocarpin synthase
EC 1.1.1.247	 codeinone reductase (NADPH)
EC 1.1.1.248	 salutaridine reductase (NADPH)
EC 1.1.1.249	 reinstated as *EC 2.5.1.46
EC 1.1.1.250	 D-arabinitol 2-dehydrogenase
EC 1.1.1.251	 galactitol-1-phosphate 5-dehydrogenase
EC 1.1.1.252	 tetrahydroxynaphthalene reductase
EC 1.1.1.253	 now *EC 1.5.1.33
EC 1.1.1.254	 (S)-carnitine 3-dehydrogenase
EC 1.1.1.255	 mannitol dehydrogenase
EC 1.1.1.256	 fluoren-9-ol dehydrogenase
EC 1.1.1.257	 4-(hydroxymethyl)benzenesulfonate dehydrogenase
EC 1.1.1.258	 6-hydroxyhexanoate dehydrogenase
EC 1.1.1.259	 3-hydroxypimeloyl-CoA dehydrogenase
EC 1.1.1.260	 sulcatone reductase
EC 1.1.1.261	 sn-glycerol-1-phosphate dehydrogenase
EC 1.1.1.262	 4-hydroxythreonine-4-phosphate dehydrogenase
EC 1.1.1.263	 1,5-anhydro-D-fructose reductase
EC 1.1.1.264	 L-idonate 5-dehydrogenase
EC 1.1.1.265	 3-methylbutanal reductase
EC 1.1.1.266	 dTDP-4-dehydro-6-deoxyglucose reductase
EC 1.1.1.267	 1-deoxy-D-xylulose-5-phosphate reductoisomerase
EC 1.1.1.268	 2-(R)-hydroxypropyl-CoM dehydrogenase
EC 1.1.1.269	 2-(S)-hydroxypropyl-CoM dehydrogenase
EC 1.1.1.270	 3-keto-steroid reductase
EC 1.1.1.271	 GDP-L-fucose synthase
EC 1.1.1.272	 (R)-2-hydroxyacid dehydrogenase
EC 1.1.1.273	 vellosimine dehydrogenase
EC 1.1.1.274	 2,5-didehydrogluconate reductase
EC 1.1.1.275	 (+)-trans-carveol dehydrogenase
EC 1.1.1.276	 serine 3-dehydrogenase
EC 1.1.1.277	 3b-hydroxy-5b-steroid dehydrogenase
EC 1.1.1.278	 3b-hydroxy-5a-steroid dehydrogenase
EC 1.1.1.279	 (R)-3-hydroxyacid ester dehydrogenase
EC 1.1.1.280	 (S)-3-hydroxyacid ester dehydrogenase
EC 1.1.1.281	 GDP-4-dehydro-6-deoxy-D-mannose reductase
EC 1.1.1.282	 quinate/shikimate dehydrogenase
EC 1.1.1.283	 methylglyoxal reductase (NADPH-dependent)
EC 1.1.1.284	 S-(hydroxymethyl)glutathione dehydrogenase
EC 1.1.1.285	 3"-deamino-3"-oxonicotianamine reductase
EC 1.1.1.286	 isocitrate—homoisocitrate dehydrogenase
EC 1.1.1.287	 D-arabinitol dehydrogenase (NADP+)
EC 1.1.1.288	 xanthoxin dehydrogenase
EC 1.1.1.289	 sorbose reductase
EC 1.1.1.290	 4-phosphoerythronate dehydrogenase
EC 1.1.1.291	 2-hydroxymethylglutarate dehydrogenase
EC 1.1.1.292	 1,5-anhydro-D-fructose reductase (1,5-anhydro-D-mannitol-forming)
EC 1.1.1.293	 deleted
EC 1.1.1.294	 chlorophyll(ide) b reductase
EC 1.1.1.295	 momilactone-A synthase
EC 1.1.1.296	 dihydrocarveol dehydrogenase
EC 1.1.1.297	 limonene-1,2-diol dehydrogenase
EC 1.1.1.298	 3-hydroxypropionate dehydrogenase (NADP+)
EC 1.1.1.299	 malate dehydrogenase (NAD(P)+)
EC 1.1.1.300	 NADP-retinol dehydrogenase
EC 1.1.1.301	 D-arabitol-phosphate dehydrogenase
EC 1.1.1.302	 2,5-diamino-6-(ribosylamino)-4(3H)-pyrimidinone 5'-phosphate reductase
EC 1.1.1.303	 acetoin dehydrogenase
EC 1.1.1.304	 (S)-acetoin dehydrogenase
EC 1.1.1.305	 UDP-glucuronic acid dehydrogenase
EC 1.1.1.306	 S-(hydroxymethyl)mycothiol dehydrogenase
EC 1.1.1.307	 D-xylose reductase
EC 1.1.1.308	 sulfopropanediol 3-dehydrogenase
EC 1.1.1.309	 phosphonoacetaldehyde reductase (NADH)
EC 1.1.1.310	 (S)-sulfolactate dehydrogenase
EC 1.1.1.311	 (S)-1-phenylethanol dehydrogenase
EC 1.1.1.312	 2-hydroxy-4-carboxymuconate semialdehyde hemiacetal dehydrogenase
EC 1.1.1.313	 sulfoacetaldehyde reductase
EC 1.1.1.314	 germacrene A alcohol dehydrogenase
EC 1.1.1.315	 11-cis-retinol dehydrogenase
EC 1.1.1.316	 L-galactose 1-dehydrogenase
EC 1.1.1.317	 perakine reductase
EC 1.1.1.318	 eugenol synthase
EC 1.1.1.319	 isoeugenol synthase
EC 1.1.1.320	 benzil reductase ((S)-benzoin forming)
EC 1.1.1.321	 benzil reductase ((R)-benzoin forming)
EC 1.1.1.322	 (-)-Endo-fenchol dehydrogenase
EC 1.1.1.323	 (+)-Thujan-3-ol dehydrogenase
EC 1.1.1.324	 8-Hydroxygeraniol dehydrogenase
EC 1.1.1.325	 sepiapterin reductase (L-threo-7,8-dihydrobiopterin forming)
EC 1.1.1.326	 zerumbone synthase
EC 1.1.1.327	 5-Exo-hydroxycamphor dehydrogenase
EC 1.1.1.328	 nicotine blue oxidoreductase
EC 1.1.1.329	 2-Deoxy-scyllo-inosamine dehydrogenase
EC 1.1.1.330	 very-long-chain 3-oxoacyl-CoA reductase
EC 1.1.1.331	 secoisolariciresinol dehydrogenase
EC 1.1.1.332	 chanoclavine-I dehydrogenase
EC 1.1.1.333	 decaprenylphospho-beta-D-erythro-pentofuranosid-2-ulose 2-reductase
EC 1.1.1.334	 methylecgonone reductase
EC 1.1.1.335	 UDP-N-acetyl-2-amino-2-deoxyglucuronate dehydrogenase
EC 1.1.1.336	 UDP-N-acetyl-D-mannosamine dehydrogenase
EC 1.1.1.337	 L-2-hydroxycarboxylate dehydrogenase (NAD+)
EC 1.1.1.338	 (2R)-3-sulfolactate dehydrogenase (NADP+)
EC 1.1.1.339	 dTDP-6-deoxy-L-talose 4-dehydrogenase (NAD+)
EC 1.1.1.340	 1-Deoxy-11beta-hydroxypentalenate dehydrogenase
EC 1.1.1.341	 CDP-abequose synthase
EC 1.1.1.342	 CDP-paratose synthase
EC 1.1.2.1	 now *EC 1.1.99.5
EC 1.1.2.2	 mannitol dehydrogenase (cytochrome)
EC 1.1.2.3	 L-lactate dehydrogenase (cytochrome)
EC 1.1.2.4	 D-lactate dehydrogenase (cytochrome)
EC 1.1.2.5	 D-lactate dehydrogenase (cytochrome c-553)
EC 1.1.2.6	 polyvinyl alcohol dehydrogenase (cytochrome)
EC 1.1.2.7	 methanol dehydrogenase (cytochrome c)
EC 1.1.2.8	 alcohol dehydrogenase (cytochrome c)
EC 1.1.3.1	 deleted, included in *EC 1.1.3.15
EC 1.1.3.2	 now *EC 1.13.12.4
EC 1.1.3.3	 malate oxidase
EC 1.1.3.4	 glucose oxidase
EC 1.1.3.5	 hexose oxidase
EC 1.1.3.6	 cholesterol oxidase
EC 1.1.3.7	 aryl-alcohol oxidase
EC 1.1.3.8	 L-gulonolactone oxidase
EC 1.1.3.9	 galactose oxidase
EC 1.1.3.10	 pyranose oxidase
EC 1.1.3.11	 L-sorbose oxidase
EC 1.1.3.12	 pyridoxine 4-oxidase
EC 1.1.3.13	 alcohol oxidase
EC 1.1.3.14	 catechol oxidase (dimerizing)
EC 1.1.3.15	 (S)-2-hydroxy-acid oxidase
EC 1.1.3.16	 ecdysone oxidase
EC 1.1.3.17	 choline oxidase
EC 1.1.3.18	 Secondary-alcohol oxidase
EC 1.1.3.19	 4-hydroxymandelate oxidase
EC 1.1.3.20	 long-chain-alcohol oxidase
EC 1.1.3.21	 glycerol-3-phosphate oxidase
EC 1.1.3.22	 now *EC 1.17.3.2
EC 1.1.3.23	 Thiamine oxidase
EC 1.1.3.24	 L-galactonolactone oxidase
EC 1.1.3.25	 now included with *EC 1.1.99.18
EC 1.1.3.26	 now *EC 1.21.3.2
EC 1.1.3.27	 hydroxyphytanate oxidase
EC 1.1.3.28	 nucleoside oxidase
EC 1.1.3.29	 N-acylhexosamine oxidase
EC 1.1.3.30	 polyvinyl-alcohol oxidase
EC 1.1.3.31	 deleted
EC 1.1.3.32	 now *EC 1.14.21.1
EC 1.1.3.33	 now *EC 1.14.21.2
EC 1.1.3.34	 now *EC 1.14.21.3
EC 1.1.3.35	 now *EC 1.14.21.4
EC 1.1.3.36	 now *EC 1.14.21.5
EC 1.1.3.37	 D-arabinono-1,4-lactone oxidase
EC 1.1.3.38	 vanillyl-alcohol oxidase
EC 1.1.3.39	 nucleoside oxidase (H2O2-forming)
EC 1.1.3.40	 D-mannitol oxidase
EC 1.1.3.41	 xylitol oxidase
EC 1.1.3.42	 prosolanapyrone-II oxidase
EC 1.1.3.43	 paromamine 6'-oxidase
EC 1.1.3.44	 6-Hydroxyneomycin C oxidase
EC 1.1.4.1	 Now 1.17.4.4
EC 1.1.4.2	 Now 1.17.4.5
EC 1.1.5.1	 deleted, see EC 1.1.99.18 cellobiose dehydrogenase (acceptor)
EC 1.1.5.2	 quinoprotein glucose dehydrogenase
EC 1.1.5.3	 glycerol-3-phosphate dehydrogenase (quinone)
EC 1.1.5.4	 malate dehydrogenase (quinone)
EC 1.1.5.5	 alcohol dehydrogenase (quinone)
EC 1.1.5.6	 formate dehydrogenase-N
EC 1.1.5.7	 cyclic alcohol dehydrogenase (quinone)
EC 1.1.5.8	 quinate dehydrogenase (quinone)
EC 1.1.9.1	 alcohol dehydrogenase (azurin)
EC 1.1.98.2	 glucose-6-phosphate dehydrogenase (coenzyme-F420)
EC 1.1.98.3	 decaprenylphospho-beta-D-ribofuranose 2-oxidase
EC 1.1.99.1	 choline dehydrogenase
EC 1.1.99.2	 L-2-hydroxyglutarate dehydrogenase
EC 1.1.99.3	 gluconate 2-dehydrogenase (acceptor)
EC 1.1.99.4	 dehydrogluconate dehydrogenase
EC 1.1.99.5	 now *EC 1.1.5.3
EC 1.1.99.6	 D-2-hydroxy-acid dehydrogenase
EC 1.1.99.7	 lactate—malate transhydrogenase
EC 1.1.99.8	 alcohol dehydrogenase (acceptor)
EC 1.1.99.9	 pyridoxine 5-dehydrogenase
EC 1.1.99.10	 glucose dehydrogenase (acceptor)
EC 1.1.99.11	 fructose 5-dehydrogenase
EC 1.1.99.12	 sorbose dehydrogenase
EC 1.1.99.13	 glucoside 3-dehydrogenase
EC 1.1.99.14	 glycolate dehydrogenase
EC 1.1.99.15	 now *EC 1.7.99.5
EC 1.1.99.16	 malate dehydrogenase (acceptor)
EC 1.1.99.17	 now *EC 1.1.5.2
EC 1.1.99.18	 cellobiose dehydrogenase (acceptor)
EC 1.1.99.19	 uracil dehydrogenase
EC 1.1.99.20	 alkan-1-ol dehydrogenase (acceptor)
EC 1.1.99.21	 D-sorbitol dehydrogenase (acceptor)
EC 1.1.99.22	 glycerol dehydrogenase (acceptor)
EC 1.1.99.23	 polyvinyl-alcohol dehydrogenase (acceptor)
EC 1.1.99.24	 hydroxyacid-oxoacid transhydrogenase
EC 1.1.99.25	 quinate dehydrogenase (pyrroloquinoline-quinone)
EC 1.1.99.26	 3-hydroxycyclohexanone dehydrogenase
EC 1.1.99.27	 (R)-pantolactone dehydrogenase (flavin)
EC 1.1.99.28	 glucose-fructose oxidoreductase
EC 1.1.99.29	 pyranose dehydrogenase (acceptor)
EC 1.1.99.30	 2-oxoacid reductase
EC 1.1.99.31	 (S)-mandelate dehydrogenase
EC 1.1.99.32	 L-sorbose 1-dehydrogenase
EC 1.1.99.33	 formate dehydrogenase (acceptor)
EC 1.1.99.34	 now EC 1.1.98.2
EC 1.1.99.35	 soluble quinoprotein glucose dehydrogenase
EC 1.1.99.36	 alcohol dehydrogenase (nicotinoprotein)
EC 1.1.99.37	 methanol dehydrogenase (nicotinoprotein)
EC 1.1.99.38	 2-Deoxy-scyllo-inosamine dehydrogenase (SAM-dependent)
EC 1.1.99.39	 D-2-hydroxyglutarate dehydrogenase
EC 1.2.1.1	 deleted, replaced by *EC 1.1.1.284 and *EC 4.4.1.22
EC 1.2.1.2	 formate dehydrogenase
EC 1.2.1.3	 aldehyde dehydrogenase (NAD+)
EC 1.2.1.4	 aldehyde dehydrogenase (NADP+)
EC 1.2.1.5	 aldehyde dehydrogenase (NAD(P)+)
EC 1.2.1.6	 deleted
EC 1.2.1.7	 benzaldehyde dehydrogenase (NADP+)
EC 1.2.1.8	 betaine-aldehyde dehydrogenase
EC 1.2.1.9	 glyceraldehyde-3-phosphate dehydrogenase (NADP+)
EC 1.2.1.10	 acetaldehyde dehydrogenase (acetylating)
EC 1.2.1.11	 aspartate-semialdehyde dehydrogenase
EC 1.2.1.12	 glyceraldehyde-3-phosphate dehydrogenase (phosphorylating)
EC 1.2.1.13	 glyceraldehyde-3-phosphate dehydrogenase (NADP+) (phosphorylating)
EC 1.2.1.14	 now *EC 1.1.1.205
EC 1.2.1.15	 malonate-semialdehyde dehydrogenase
EC 1.2.1.16	 glyceraldehyde-3-phosphate dehydrogenase (NADP+) (phosphorylating)
EC 1.2.1.17	 glyoxylate dehydrogenase (acylating)
EC 1.2.1.18	 malonate-semialdehyde dehydrogenase (acetylating)
