EC 2.1.1.1	 nicotinamide N-methyltransferase
EC 2.1.1.87	 pyridine N-methyltransferase
EC 2.1.1.88	 8-hydroxyquercetin 8-O-methyltransferase
EC 2.1.1.89	 tetrahydrocolumbamine 2-O-methyltransferase
EC 2.1.1.90	 methanol—5-hydroxybenzimidazolylcobamide Co-methyltransferase
EC 2.1.1.91	 isobutyraldoxime O-methyltransferase
EC 2.1.1.92	 bergaptol O-methyltransferase
EC 2.1.1.93	 xanthotoxol O-methyltransferase
EC 2.1.1.94	 tabersonine 16-O-methyltransferase
EC 2.1.1.95	 tocopherol O-methyltransferase
EC 2.1.1.96	 thioether S-methyltransferase
EC 2.1.1.97	 3-hydroxyanthranilate 4-C-methyltransferase
EC 2.1.1.98	 diphthine synthase
EC 2.1.1.99	 3-hydroxy-16-methoxy-2,3-dihydrotabersonine N-methyltransferase
EC 2.1.1.100	 protein-S-isoprenylcysteine O-methyltransferase
EC 2.1.1.101	 macrocin O-methyltransferase
EC 2.1.1.102	 demethylmacrocin O-methyltransferase
EC 2.1.1.103	 phosphoethanolamine N-methyltransferase
EC 2.1.1.104	 caffeoyl-CoA O-methyltransferase
EC 2.1.1.105	 N-benzoyl-4-hydroxyanthranilate 4-O-methyltransferase
EC 2.1.1.106	 tryptophan 2-C-methyltransferase
EC 2.1.1.107	 uroporphyrinogen-III C-methyltransferase
EC 2.1.1.108	 6-hydroxymellein O-methyltransferase
EC 2.1.1.109	 demethylsterigmatocystin 6-O-methyltransferase
EC 2.1.1.110	 sterigmatocystin 8-O-methyltransferase
EC 2.1.1.111	 anthranilate N-methyltransferase
EC 2.1.1.112	 glucuronoxylan 4-O-methyltransferase
EC 2.1.1.113	 site-specific DNA-methyltransferase (cytosine-N4-specific)
EC 2.1.1.114	 hexaprenyldihydroxybenzoate methyltransferase
EC 2.1.1.115	 (RS)-1-benzyl-1,2,3,4-tetrahydroisoquinoline N-methyltransferase
EC 2.1.1.116	 3'-hydroxy-N-methyl-(S)-coclaurine 4'-O-methyltransferase
EC 2.1.1.117	 (S)-scoulerine 9-O-methyltransferase
EC 2.1.1.118	 columbamine O-methyltransferase
EC 2.1.1.119	 10-hydroxydihydrosanguinarine 10-O-methyltransferase
EC 2.1.1.120	 12-hydroxydihydrochelirubine 12-O-methyltransferase
EC 2.1.1.121	 6-O-methylnorlaudanosoline 5'-O-methyltransferase
EC 2.1.1.122	 (S)-tetrahydroprotoberberine N-methyltransferase
EC 2.1.1.123	 (cytochrome c)-methionine S-methyltransferase
EC 2.1.1.124	 (cytochrome c)-arginine N-methyltransferase
EC 2.1.1.125	 histone-arginine N-methyltransferase
EC 2.1.1.126	 (myelin basic protein)-arginine N-methyltransferase
EC 2.1.1.127	 (ribulose-bisphosphate carboxylase)-lysine N-methyltransferase
EC 2.1.1.128	 (RS)-norcoclaurine 6-O-methyltransferase
EC 2.1.1.129	 inositol 4-methyltransferase
EC 2.1.1.130	 precorrin-2 C20-methyltransferase
EC 2.1.1.131	 precorrin-3B C17-methyltransferase
EC 2.1.1.132	 precorrin-6Y C5,15-methyltransferase (decarboxylating)
EC 2.1.1.133	 precorrin-4 C11-methyltransferase
EC 2.1.1.134	 now with EC 2.1.1.129
EC 2.1.1.135	 now EC 1.16.1.8
EC 2.1.1.136	 chlorophenol O-methyltransferase
EC 2.1.1.137	 arsenite methyltransferase
EC 2.1.1.138	 deleted
EC 2.1.1.139	 3'-demethylstaurosporine O-methyltransferase
EC 2.1.1.140	 (S)-coclaurine-N-methyltransferase
EC 2.1.1.141	 jasmonate O-methyltransferase
EC 2.1.1.142	 cycloartenol 24-C-methyltransferase
EC 2.1.1.143	 24-methylenesterol C-methyltransferase
EC 2.1.1.144	 trans-aconitate 2-methyltransferase
EC 2.1.1.145	 trans-aconitate 3-methyltransferase
EC 2.1.1.146	 (iso)eugenol O-methyltransferase
EC 2.1.1.147	 corydaline synthase
EC 2.1.1.148	 thymidylate synthase (FAD)
EC 2.1.1.149	 myricetin O-methyltransferase
EC 2.1.1.150	 isoflavone 7-O-methyltransferase
EC 2.1.1.151	 cobalt-factor II C20-methyltransferase
EC 2.1.1.152	 precorrin-6A synthase (deacetylating)
EC 2.1.1.153	 vitexin 2"-O-rhamnoside 7-O-methyltransferase
EC 2.1.1.154	 isoliquiritigenin 2'-O-methyltransferase
EC 2.1.1.155	 kaempferol 4'-O-methyltransferase
EC 2.1.1.156	 glycine/sarcosine N-methyltransferase
EC 2.1.1.157	 sarcosine/dimethylglycine N-methyltransferase
EC 2.1.1.158	 7-methylxanthosine synthase
EC 2.1.1.159	 theobromine synthase
EC 2.1.1.160	 caffeine synthase
EC 2.1.1.161	 dimethylglycine N-methyltransferase
EC 2.1.1.162	 glycine/sarcosine/dimethylglycine N-methyltransferase
EC 2.1.1.163	 demethylmenaquinone methyltransferase
EC 2.1.1.164	 demethylrebeccamycin-D-glucose O-methyltransferase
EC 2.1.1.165	 methyl halide transferase
EC 2.1.1.166	 23S rRNA (uridine2552-2'-O)-methyltransferase
EC 2.1.1.167	 27S pre-rRNA (guanosine2922-2'-O)-methyltransferase
EC 2.1.1.168	 21S rRNA (uridine2791-2'-O)-methyltransferase
EC 2.1.1.169	 tricetin 3',4',5'-O-trimethyltransferase
EC 2.1.1.170	 16S rRNA (guanine527-N7)-methyltransferase
EC 2.1.1.171	 16S rRNA (guanine966-N2)-methyltransferase
EC 2.1.1.172	 16S rRNA (guanine1207-N2)-methyltransferase
EC 2.1.1.173	 23S rRNA (guanine2445-N2)-methyltransferase
EC 2.1.1.174	 23S rRNA (guanine1835-N2)-methyltransferase
EC 2.1.1.175	 tricin synthase
EC 2.1.1.176	 16S rRNA (cytosine967-C5)-methyltransferase
EC 2.1.1.177	 23S rRNA (pseudouridine1915-N3)-methyltransferase
EC 2.1.1.178	 16S rRNA (cytosine1407-C5)-methyltransferase
EC 2.1.1.179	 16S rRNA (guanine1405-N7)-methyltransferase
EC 2.1.1.180	 16S rRNA (adenine1408-N1)-methyltransferase
EC 2.1.1.181	 23S rRNA (adenine1618-N6)-methyltransferase
EC 2.1.1.182	 16S rRNA (adenine1518-N6/adenine1519-N6)-dimethyltransferase
EC 2.1.1.183	 18S rRNA (adenine1779-N6/adenine1780-N6)-dimethyltransferase
EC 2.1.1.184	 23S rRNA (adenine2085-N6)-dimethyltransferase
EC 2.1.1.185	 23S rRNA (guanosine2251-2'-O)-methyltransferase
EC 2.1.1.186	 23S rRNA (cytidine2498-2'-O)-methyltransferase
EC 2.1.1.187	 23S rRNA (guanine745-N1)-methyltransferase
EC 2.1.1.188	 23S rRNA (guanine748-N1)-methyltransferase
EC 2.1.1.189	 23S rRNA (uracil747-C5)-methyltransferase
EC 2.1.1.190	 23S rRNA (uracil1939-C5)-methyltransferase
EC 2.1.1.191	 23S rRNA (cytosine1962-C5)-methyltransferase
EC 2.1.1.192	 23S rRNA (adenine2503-C2)-methyltransferase
EC 2.1.1.193	 16S rRNA (uracil1498-N3)-methyltransferase
EC 2.1.1.194	 23S rRNA (adenine2503-C2,C8)-dimethyltransferase
EC 2.1.1.195	 cobalt-precorrin-5B (C1)-methyltransferase
EC 2.1.1.196	 cobalt-precorrin-7 (C15)-methyltransferase (decarboxylating)
EC 2.1.1.197	 malonyl-CoA O-methyltransferase
EC 2.1.1.198	 16S rRNA (cytidine1402-2'-O)-methyltransferase
EC 2.1.1.199	 16S rRNA (cytosine1402-N4)-methyltransferase
EC 2.1.1.200	 tRNA (cytidine32/uridine32-2'-O)-methyltransferase
EC 2.1.1.201	 2-methoxy-6-polyprenyl-1,4-benzoquinol methylase
EC 2.1.1.202	 multisite-specific tRNA:(cytosine-C5)-methyltransferase
EC 2.1.1.203	 tRNA (cytosine34-C5)-methyltransferase
EC 2.1.1.204	 tRNA (cytosine38-C5)-methyltransferase
EC 2.1.1.205	 tRNA (cytidine32/guanosine34-2'-O)-methyltransferase
EC 2.1.1.206	 tRNA (cytidine56-2'-O)-methyltransferase
EC 2.1.1.207	 tRNA (cytidine34-2'-O)-methyltransferase
EC 2.1.1.208	 23S rRNA (uridine2479-2'-O)-methyltransferase
EC 2.1.1.209	 23S rRNA (guanine2535-N1)-methyltransferase
EC 2.1.1.210	 demethylspheroidene O-methyltransferase
EC 2.1.1.211	 tRNASer (uridine44-2'-O)-methyltransferase
EC 2.1.1.212	 2,7,4'-trihydroxyisoflavanone 4'-O-methyltransferase
EC 2.1.1.213	 tRNA (guanine10-N2)-dimethyltransferase
EC 2.1.1.214	 tRNA (guanine10-N2)-methyltransferase
EC 2.1.1.215	 tRNA (guanine26-N2/guanine27-N2)-dimethyltransferase
EC 2.1.1.216	 tRNA (guanine26-N2)-dimethyltransferase
EC 2.1.1.217	 tRNA (adenine22-N1)-methyltransferase
EC 2.1.1.218	 tRNA (adenine9-N1)-methyltransferase
EC 2.1.1.219	 tRNA (adenine57-N1/adenine58-N1)-methyltransferase
EC 2.1.1.220	 tRNA (adenine58-N1)-methyltransferase
EC 2.1.1.221	 tRNA (guanine9-N1)-methyltransferase
EC 2.1.1.222	 2-polyprenyl-6-hydroxyphenyl methylase
EC 2.1.1.223	 tRNA1Val (adenine37-N6)-methyltransferase
EC 2.1.1.224	 23S rRNA (adenine2503-C8)-methyltransferase
EC 2.1.1.225	 tRNA:m4X modification enzyme
EC 2.1.1.226	 23S rRNA (cytidine1920-2'-O)-methyltransferase
EC 2.1.1.227	 16S rRNA (cytidine1409-2'-O)-methyltransferase
EC 2.1.1.228	 tRNA (guanine37-N1)-methyltransferase
EC 2.1.1.229	 tRNA (carboxymethyluridine34-5-O)-methyltransferase
EC 2.1.1.230	 23S rRNA (adenosine1067-2'-O)-methyltransferase
EC 2.1.1.231	 flavonoid 4'-O-methyltransferase
EC 2.1.1.232	 naringenin 7-O-methyltransferase
EC 2.1.1.233	 (phosphatase 2A protein)-leucine-carboxy methyltransferase
EC 2.1.1.234	 dTDP-3-amino-3,4,6-trideoxy-alpha-D-glucopyranose N,N-dimethyltransferase
EC 2.1.1.235	 dTDP-3-amino-3,6-dideoxy-alpha-D-glucopyranose N,N-dimethyltransferase
EC 2.1.1.236	 dTDP-3-amino-3,6-dideoxy-alpha-D-galactopyranose N,N-dimethyltransferase
EC 2.1.1.237	 mycinamicin III 3-O-methyltransferase
EC 2.1.1.238	 mycinamicin VI 2-O-methyltransferase
EC 2.1.1.239	 L-olivosyl-oleandolide 3-O-methyltransferase
EC 2.1.1.240	 trans-resveratrol di-O-methyltransferase
EC 2.1.1.241	 2,4,7-trihydroxy-1,4-benzoxazin-3-one-glucoside 7-O-methyltransferase
EC 2.1.1.242	 16S rRNA (guanine1516-N2)-methyltransferase
EC 2.1.1.243	 2-ketoarginine methyltransferase
EC 2.1.1.244	 protein N-terminal methyltransferase
EC 2.1.1.245	 5-methyltetrahydrosarcinapterin:corrinoid/iron-sulfur protein Co-methyltransferase
EC 2.1.1.246	 (methyl-Co(III) methanol-specific corrinoid protein):coenzyme M methyltransferase
EC 2.1.1.247	 (methyl-Co(III) methylamine-specific corrinoid protein):coenzyme M methyltransferase
EC 2.1.1.248	 methylamine---corrinoid protein Co-methyltransferase
EC 2.1.1.249	 dimethylamine---corrinoid protein Co-methyltransferase
EC 2.1.1.250	 trimethylamine---corrinoid protein Co-methyltransferase
EC 2.1.1.251	 methylated-thiol---coenzyme M methyltransferase
EC 2.1.1.252	 tetramethylammonium---corrinoid protein Co-methyltransferase
EC 2.1.1.253	 (methyl-Co(III) tetramethylammonium-specific corrinoid protein):coenzyme M methyltransferase
EC 2.1.1.254	 erythromycin 3-O-methyltransferase
EC 2.1.1.255	 geranyl diphosphate 2-C-methyltransferase
EC 2.1.1.256	 tRNA (guanine6-N2)-methyltransferase
EC 2.1.1.257	 tRNA (pseudouridine54-N1)-methyltransferase
EC 2.1.1.258	 5-methyltetrahydrofolate:corrinoid/iron-sulfur protein Co-methyltransferase
EC 2.1.1.259	 (fructose-bisphosphate aldolase)-lysine N-methyltransferase
EC 2.1.1.260	 rRNA small subunit pseudouridine methyltransferase Nep1
EC 2.1.1.261	 4-dimethylallyltryptophan N-methyltransferase
EC 2.1.1.262	 squalene methyltransferase
EC 2.1.1.263	 botryococcene C-methyltransferase
EC 2.1.1.264	 23S rRNA (guanine2069-N7)-methyltransferase
EC 2.1.1.265	 tellurite methyltransferase
EC 2.1.2.1	 glycine hydroxymethyltransferase
EC 2.1.2.2	 phosphoribosylglycinamide formyltransferase
EC 2.1.2.3	 phosphoribosylaminoimidazolecarboxamide formyltransferase
EC 2.1.2.4	 glycine formimidoyltransferase
EC 2.1.2.5	 glutamate formiminotransferase
EC 2.1.2.6	 deleted, included in EC 2.1.2.5
EC 2.1.2.7	 D-alanine 2-hydroxymethyltransferase
EC 2.1.2.8	 deoxycytidylate 5-hydroxymethyltransferase
EC 2.1.2.9	 methionyl-tRNA formyltransferase
EC 2.1.2.10	 aminomethyltransferase
EC 2.1.2.11	 3-methyl-2-oxobutanoate hydroxymethyltransferase
EC 2.1.2.12	 now EC 2.1.1.74
EC 2.1.2.13	 UDP-4-amino-4-deoxy-L-arabinose formyltransferase
EC 2.1.3.1	 methylmalonyl-CoA carboxytransferase
EC 2.1.3.2	 aspartate carbamoyltransferase
EC 2.1.3.3	 ornithine carbamoyltransferase
EC 2.1.3.4	 deleted
EC 2.1.3.5	 oxamate carbamoyltransferase
EC 2.1.3.6	 putrescine carbamoyltransferase
EC 2.1.3.7	 3-hydroxymethylcephem carbamoyltransferase
EC 2.1.3.8	 lysine carbamoyltransferase
EC 2.1.3.9	 N-acetylornithine carbamoyltransferase
EC 2.1.3.10	 malonyl-S-ACP:biotin-protein carboxyltransferase
EC 2.1.3.11	 N-succinylornithine carbamoyltransferase
EC 2.1.4.1	 glycine amidinotransferase
EC 2.1.4.2	 scyllo-inosamine-4-phosphate amidinotransferase
EC 2.2.1.1	 transketolase
EC 2.2.1.2	 transaldolase
EC 2.2.1.3	 formaldehyde transketolase
EC 2.2.1.4	 acetoin—ribose-5-phosphate transaldolase
EC 2.2.1.5	 2-hydroxy-3-oxoadipate synthase
EC 2.2.1.6	 acetolactate synthase
EC 2.2.1.7	 1-deoxy-D-xylulose-5-phosphate synthase
EC 2.2.1.8	 fluorothreonine transaldolase
EC 2.2.1.9	 2-succinyl-5-enolpyruvyl-6-hydroxy-3-cyclohexene-1-carboxylic-acid synthase
EC 2.2.1.10	 2-amino-3,7-dideoxy-D-threo-hept-6-ulosonate synthase
EC 2.2.1.11	 6-deoxy-5-ketofructose 1-phosphate synthase
EC 2.3.1.1	 amino-acid N-acetyltransferase
EC 2.3.1.2	 imidazole N-acetyltransferase
EC 2.3.1.3	 glucosamine N-acetyltransferase
EC 2.3.1.4	 glucosamine-phosphate N-acetyltransferase
EC 2.3.1.5	 arylamine N-acetyltransferase
EC 2.3.1.6	 choline O-acetyltransferase
EC 2.3.1.7	 carnitine O-acetyltransferase
EC 2.3.1.8	 phosphate acetyltransferase
EC 2.3.1.9	 acetyl-CoA C-acetyltransferase
EC 2.3.1.10	 hydrogen-sulfide S-acetyltransferase
EC 2.3.1.11	 thioethanolamine S-acetyltransferase
EC 2.3.1.12	 dihydrolipoyllysine-residue acetyltransferase
EC 2.3.1.13	 glycine N-acyltransferase
EC 2.3.1.14	 glutamine N-phenylacetyltransferase
EC 2.3.1.15	 glycerol-3-phosphate O-acyltransferase
EC 2.3.1.16	 acetyl-CoA C-acyltransferase
EC 2.3.1.17	 aspartate N-acetyltransferase
EC 2.3.1.18	 galactoside O-acetyltransferase
EC 2.3.1.19	 phosphate butyryltransferase
EC 2.3.1.20	 diacylglycerol O-acyltransferase
EC 2.3.1.21	 carnitine O-palmitoyltransferase
EC 2.3.1.22	 2-acylglycerol O-acyltransferase
EC 2.3.1.23	 1-acylglycerophosphocholine O-acyltransferase
EC 2.3.1.24	 sphingosine N-acyltransferase
EC 2.3.1.25	 plasmalogen synthase
EC 2.3.1.26	 sterol O-acyltransferase
EC 2.3.1.27	 cortisol O-acetyltransferase
EC 2.3.1.28	 chloramphenicol O-acetyltransferase
EC 2.3.1.29	 glycine C-acetyltransferase
EC 2.3.1.30	 serine O-acetyltransferase
EC 2.3.1.31	 homoserine O-acetyltransferase
EC 2.3.1.32	 lysine N-acetyltransferase
EC 2.3.1.33	 histidine N-acetyltransferase
EC 2.3.1.34	 D-tryptophan N-acetyltransferase
EC 2.3.1.35	 glutamate N-acetyltransferase
EC 2.3.1.36	 D-amino-acid N-acetyltransferase
EC 2.3.1.37	 5-aminolevulinate synthase
EC 2.3.1.38	 (acyl-carrier-protein) S-acetyltransferase
EC 2.3.1.39	 (acyl-carrier-protein) S-malonyltransferase
EC 2.3.1.40	 acyl-(acyl-carrier-protein)—phospholipid O-acyltransferase
EC 2.3.1.41	 3-oxoacyl-(acyl-carrier-protein) synthase
EC 2.3.1.42	 glycerone-phosphate O-acyltransferase
EC 2.3.1.43	 phosphatidylcholine—sterol O-acyltransferase
EC 2.3.1.44	 N-acetylneuraminate 4-O-acetyltransferase
EC 2.3.1.45	 N-acetylneuraminate 7-O(or 9-O)-acetyltransferase
EC 2.3.1.46	 homoserine O-succinyltransferase
EC 2.3.1.47	 8-amino-7-oxononanoate synthase
EC 2.3.1.48	 histone acetyltransferase
EC 2.3.1.49	 deacetyl-(citrate-(pro-3S)-lyase) S-acetyltransferase
EC 2.3.1.50	 serine C-palmitoyltransferase
EC 2.3.1.51	 1-acylglycerol-3-phosphate O-acyltransferase
EC 2.3.1.52	 2-acylglycerol-3-phosphate O-acyltransferase
EC 2.3.1.53	 phenylalanine N-acetyltransferase
EC 2.3.1.54	 formate C-acetyltransferase
EC 2.3.1.55	 now EC 2.3.1.82
EC 2.3.1.56	 aromatic-hydroxylamine O-acetyltransferase
EC 2.3.1.57	 diamine N-acetyltransferase
EC 2.3.1.58	 2,3-diaminopropionate N-oxalyltransferase
EC 2.3.1.59	 gentamicin 2'-N-acetyltransferase
EC 2.3.1.60	 gentamicin 3'-N-acetyltransferase
EC 2.3.1.61	 dihydrolipoyllysine-residue succinyltransferase
EC 2.3.1.62	 2-acylglycerophosphocholine O-acyltransferase
EC 2.3.1.63	 1-alkylglycerophosphocholine O-acyltransferase
EC 2.3.1.64	 agmatine N4-coumaroyltransferase
EC 2.3.1.65	 bile acid-CoA:amino acid N-acyltransferase
EC 2.3.1.66	 leucine N-acetyltransferase
EC 2.3.1.67	 1-alkylglycerophosphocholine O-acetyltransferase
EC 2.3.1.68	 glutamine N-acyltransferase
EC 2.3.1.69	 monoterpenol O-acetyltransferase
EC 2.3.1.70	 CDP-acylglycerol O-arachidonoyltransferase
EC 2.3.1.71	 glycine N-benzoyltransferase
EC 2.3.1.72	 indoleacetylglucose—inositol O-acyltransferase
EC 2.3.1.73	 diacylglycerol—sterol O-acyltransferase
EC 2.3.1.74	 naringenin-chalcone synthase
EC 2.3.1.75	 long-chain-alcohol O-fatty-acyltransferase
EC 2.3.1.76	 retinol O-fatty-acyltransferase
EC 2.3.1.77	 triacylglycerol—sterol O-acyltransferase
EC 2.3.1.78	 heparan-a-glucosaminide N-acetyltransferase
EC 2.3.1.79	 maltose O-acetyltransferase
EC 2.3.1.80	 cysteine-S-conjugate N-acetyltransferase
EC 2.3.1.81	 aminoglycoside N3'-acetyltransferase
EC 2.3.1.82	 aminoglycoside N6'-acetyltransferase
EC 2.3.1.83	 phosphatidylcholine—dolichol O-acyltransferase
EC 2.3.1.84	 alcohol O-acetyltransferase
EC 2.3.1.85	 fatty-acid synthase
EC 2.3.1.86	 fatty-acyl-CoA synthase
EC 2.3.1.87	 aralkylamine N-acetyltransferase
EC 2.3.1.88	 peptide a-N-acetyltransferase
EC 2.3.1.89	 tetrahydrodipicolinate N-acetyltransferase
EC 2.3.1.90	 b-glucogallin O-galloyltransferase
EC 2.3.1.91	 sinapoylglucose—choline O-sinapoyltransferase
EC 2.3.1.92	 sinapoylglucose—malate O-sinapoyltransferase
EC 2.3.1.93	 13-hydroxylupinine O-tigloyltransferase
EC 2.3.1.94	 erythronolide synthase
EC 2.3.1.95	 trihydroxystilbene synthase
EC 2.3.1.96	 glycoprotein N-palmitoyltransferase
EC 2.3.1.97	 glycylpeptide N-tetradecanoyltransferase
EC 2.3.1.98	 chlorogenate—glucarate O-hydroxycinnamoyltransferase
EC 2.3.1.99	 quinate O-hydroxycinnamoyltransferase
EC 2.3.1.100	 (myelin-proteolipid) O-palmitoyltransferase
EC 2.3.1.101	 formylmethanofuran—tetrahydromethanopterin N-formyltransferase
EC 2.3.1.102	 N6-hydroxylysine O-acetyltransferase
EC 2.3.1.103	 sinapoylglucose—sinapoylglucose O-sinapoyltransferase
EC 2.3.1.104	 1-alkenylglycerophosphocholine O-acyltransferase
EC 2.3.1.105	 alkylglycerophosphate 2-O-acetyltransferase
EC 2.3.1.106	 tartronate O-hydroxycinnamoyltransferase
EC 2.3.1.107	 deacetylvindoline O-acetyltransferase
EC 2.3.1.108	 a-tubulin N-acetyltransferase
EC 2.3.1.109	 arginine N-succinyltransferase
EC 2.3.1.110	 tyramine N-feruloyltransferase
EC 2.3.1.111	 mycocerosate synthase
EC 2.3.1.112	 D-tryptophan N-malonyltransferase
EC 2.3.1.113	 anthranilate N-malonyltransferase
EC 2.3.1.114	 3,4-dichloroaniline N-malonyltransferase
EC 2.3.1.115	 isoflavone-7-O-b-glucoside 6"-O-malonyltransferase
EC 2.3.1.116	 flavonol-3-O-b-glucoside O-malonyltransferase
EC 2.3.1.117	 2,3,4,5-tetrahydropyridine-2,6-dicarboxylate N-succinyltransferase
EC 2.3.1.118	 N-hydroxyarylamine O-acetyltransferase
EC 2.3.1.119	 icosanoyl-CoA synthase
EC 2.3.1.120	 deleted
EC 2.3.1.121	 1-alkenylglycerophosphoethanolamine O-acyltransferase
EC 2.3.1.122	 trehalose O-mycolyltransferase
EC 2.3.1.123	 dolichol O-acyltransferase
EC 2.3.1.124	 deleted
EC 2.3.1.125	 1-alkyl-2-acetylglycerol O-acyltransferase
EC 2.3.1.126	 isocitrate O-dihydroxycinnamoyltransferase
EC 2.3.1.127	 ornithine N-benzoyltransferase
EC 2.3.1.128	 ribosomal-protein-alanine N-acetyltransferase
EC 2.3.1.129	 acyl-(acyl-carrier-protein)—UDP-N-acetylglucosamine O-acyltransferase
EC 2.3.1.130	 galactarate O-hydroxycinnamoyltransferase
EC 2.3.1.131	 glucarate O-hydroxycinnamoyltransferase
EC 2.3.1.132	 glucarolactone O-hydroxycinnamoyltransferase
